sum_hhe,dnl,dnc,dh,bc,dlcp,diic,diicintra,diicflux,diicconnector,df,dawf,dpc,dpcintra,dpcflux,dpcconnector,dbc_pc,dbc_iic,pop,hh_number,hh_100,pop_15,pop_65,elderly,pop_den,lowincome,res_person,commercial,residential,greenery,industrial,enthropy,avg_price,avg_buildyear,building_32,x,y,cooling_degree,newtown,gu,gu_name,decline_level,decline_group1,decline_group2,dong_name
1700.7,1.515,-3.03,1.814,0.012,1.093,0.95,0.572,0.37,0.007,1.515,1.515,1.097,0.463,0.589,0.045,0.444,0.065,23671,9125,38.5,2771,1875,67.7,26301,498,24.2,36.4,58.9,4.6,0,0.59,35507.9,22.1 ,22.1,126.74,37.5384,126.00,0,4,계양구,70,2,3,계산4동
3969.3,0.248,-3.184,0.384,0.004,0.276,0.248,0.029,0.189,0.03,0.248,0.248,0.301,0.016,0.217,0.068,0.323,0.138,21432,8499,39.7,2354,3100,131.7,1253,814,25.7,0,6.7,93.3,0,0.18,26807.5,26.7 ,26.7,126.726,37.5717,198.37,0,4,계양구,100,2,4,계양1동
2029.2,0.678,-2.881,0.892,0.011,0.638,0.609,0.116,0.445,0.048,0.678,0.678,0.719,0.068,0.543,0.108,0.359,0.178,34315,15580,45.4,3043,4914,161.5,8289,1980,21.5,0.3,22.7,77,0,0.4,17397.1,28.6 ,28.6,126.741,37.5487,126.00,0,4,계양구,50,1,2,계양2동
1839.6,0.305,-6.555,0.443,0.004,0.299,0.291,0.036,0.232,0.023,0.305,0.305,0.323,0.022,0.261,0.04,0.218,0.089,26154,10015,38.3,4470,2765,61.9,2666,1442,23,0,11.9,88.1,0,0.26,38786.8,14.4 ,14.4,126.765,37.5694,198.37,0,4,계양구,50,1,2,계양3동
2112,1.905,-2.857,2.335,0.016,1.621,1.34,0.596,0.712,0.032,1.905,1.905,1.68,0.416,1.072,0.192,2.155,0.314,15523,6360,41,1648,2657,161.2,17248,499,33.4,11.8,59.1,29.1,0,0.66,31636,28.6 ,28.6,126.694,37.4427,155.11,0,5,미추홀구,70,2,3,관교동
924.4,0.943,-1.415,1.117,0.014,0.9,0.864,0.139,0.666,0.059,0.943,0.943,1.096,0.073,0.797,0.226,0.745,0.3,31981,13031,40.7,4853,3707,76.4,18924,1273,24.9,7.6,66.3,26.1,0,0.59,37580.6,27.6 ,27.6,126.712,37.4448,155.11,0,2,남동구,40,1,2,구월1동
1827,1.802,-2.703,2.042,0.016,1.457,1.276,0.544,0.714,0.018,1.802,1.802,1.494,0.409,0.983,0.102,0.715,0.156,35836,12558,35,5953,4080,68.5,44242,873,28.4,0.6,95.3,4.1,0,0.15,41360.9,29.4 ,29.4,126.715,37.4564,155.11,0,2,남동구,100,2,4,구월2동
1207.4,2.083,-2.083,2.21,0.024,2.061,2.019,0.133,1.817,0.069,2.083,2.083,2.534,0.08,1.924,0.53,4.456,1.173,3093,1614,52.2,202,990,490.1,10666,332,24.4,15.7,84.3,0,0,0.31,16943.2,33.9 ,33.9,126.64,37.4717,157.79,0,6,동구,40,1,2,금창동
1569.3,0.345,-5.517,0.458,0.005,0.331,0.326,0.04,0.265,0.021,0.345,0.345,0.366,0.02,0.304,0.041,0.349,0.102,21287,9071,42.6,2239,3255,145.4,2181,1216,25.6,0,11.7,37.1,27.9,0.7,25888.2,25.4 ,25.4,126.721,37.4256,155.11,0,2,남동구,90,2,3,남촌도림동
3472.7,0.909,-6.364,1.218,0.014,0.843,0.744,0.206,0.498,0.041,0.909,0.909,0.998,0.124,0.66,0.213,0.805,0.269,32331,13304,41.1,4639,3600,77.6,9107,1668,28.9,5.5,29.9,60.5,3.6,0.68,30696.6,15.6 ,15.6,126.739,37.4095,142.98,0,2,남동구,100,2,4,논현1동
3206.4,0.733,-3.663,1.003,0.01,0.646,0.564,0.213,0.306,0.045,0.733,0.733,0.8,0.136,0.461,0.203,0.854,0.14,32894,14660,44.6,4093,4323,105.6,10090,2772,25.1,6.8,33.1,28.4,31.7,0.92,29766.9,14.3 ,14.3,126.708,37.4076,171.20,0,2,남동구,100,2,4,논현2동
2358.5,0.148,-2.074,0.202,0.005,0.164,0.157,0.019,0.11,0.028,0.148,0.148,0.214,0.01,0.127,0.076,0.462,0.192,42026,15661,37.3,7561,3410,45.1,3881,1698,26.7,2.4,11.4,17.1,67.2,0.65,46522.4,16.4 ,16.4,126.702,37.3944,171.20,0,2,남동구,100,2,4,논현고잔동
2804.9,1.626,-0.813,1.934,0.012,1.474,1.378,0.313,1.001,0.065,1.626,1.626,1.766,0.175,1.276,0.315,1.496,0.339,28339,10871,38.4,4630,2231,48.2,12008,415,26.3,3.8,54.7,41.6,0,0.59,30800.4,12.9 ,12.9,126.679,37.589,125.86,0,1,서구,100,2,4,당하동
1310.2,3.175,0,3.373,0.026,3.016,2.873,0.357,2.461,0.055,3.175,3.175,3.362,0.219,2.737,0.406,3.777,0.758,4043,2069,51.2,255,1091,427.8,21279,709,24.5,11.9,73,15.1,0,0.55,10940,31.2 ,31.2,126.64,37.4672,158.44,0,7,중구,10,1,1,도원동
2592.9,0.893,0,1.015,0.016,0.856,0.83,0.118,0.657,0.055,0.893,0.893,1.076,0.078,0.737,0.261,1.944,0.643,23335,10956,47,2401,4004,166.8,25643,1343,22.3,36,52.8,11.2,0,0.69,18650.6,31.7 ,31.7,126.669,37.4623,155.11,0,5,미추홀구,30,1,1,도화1동
765.7,0.412,-0.823,0.5,0.01,0.387,0.367,0.072,0.267,0.028,0.412,0.412,0.477,0.045,0.321,0.11,0.725,0.245,30289,13296,43.9,3944,4419,112,10373,1210,24.3,2.3,63.6,1.2,33,0.57,16251.9,35.4 ,35.4,126.662,37.4734,157.79,0,5,미추홀구,40,1,2,도화2·3동
2308.1,1.563,-2.344,1.73,0.03,1.338,1.172,0.413,0.736,0.023,1.562,1.562,1.36,0.294,0.974,0.092,1.034,0.264,5928,3435,57.9,313,1635,522.4,13173,996,24.2,55.7,42.2,2,0,0.55,16162.5,40.5 ,40.5,126.629,37.4751,157.79,0,7,중구,20,1,1,동인천동
